Raman Shift,sample_1.txt,sample_10.txt,sample_11.txt,sample_12.txt,sample_13.txt,sample_14.txt,sample_15.txt,sample_16.txt,sample_17.txt,sample_18.txt,sample_19.txt,sample_2.txt,sample_20.txt,sample_21.txt,sample_22.txt,sample_23.txt,sample_24.txt,sample_25.txt,sample_26.txt,sample_27.txt,sample_28.txt,sample_29.txt,sample_3.txt,sample_30.txt,sample_31.txt,sample_32.txt,sample_33.txt,sample_34.txt,sample_35.txt,sample_36.txt,sample_37.txt,sample_38.txt,sample_4.txt,sample_5.txt,sample_6.txt,sample_7.txt,sample_8.txt,sample_9.txt
203.33,2126.6667,6771.6666,12167,6437,8822.6666,7294.3333,8044.3333,8191,8529.6666,7925.6666,4884.3333,4133.6666,5177,8925,6835.3333,8363.3333,9212,9767.6667,9342.6667,10675,9605.6667,10881.3333,6111,8189.6667,7970.3333,9607.6667,8636.3333,9985,11731.6667,13941.6667,16282.6667,6469.3333,1014,217.3333,7345,7254.3333,10791.3333,10298.3333
205.71,2093.6667,6702.3333,12142.3333,6437.6667,8735.3333,7308.6667,7873,8128,8491,7886.6666,4831,4129.6667,5054.6666,8921,6793.6666,8233.3333,9020,9770.6666,9256.3333,10616.6666,9511.6666,10883.6666,6096.3333,8130.3333,7861,9519,8551.6666,9822,11702.6666,13828.3333,16198.3333,6511.6666,1014.6667,252.6666,7300.3333,7204.3333,10703,10165.3333
208.08,2159.3333,6688.3334,12049,6342,8696.6667,7202.6667,7816.3334,8165,8441.3334,7843.6667,4813.6667,4126.6667,5043.6667,8823.3334,6775.6667,8265.6667,9066.3333,9780.3333,9286,10641.6666,9463,10854.6666,6033,8148,7814.3333,9522.6666,8511.3333,9868.6666,11684.6666,13839,16158,6519.6666,1051.6666,216.3334,7288,7166,10706.3334,10118
210.45,2117.3334,6673,12062.6667,6341,8739.3333,7194,7782.6667,8121,8533.6667,7832.3334,4782,4111.3333,5048.3334,8868.3334,6810.6667,8332.3334,9085,9763.3333,9279.3333,10599.6666,9509.6666,10827.3333,6048.6666,8163.6666,7877.6666,9481.6666,8514,9854.3333,11712,13791,16204.3333,6505.6666,1027,246.6667,7271.3333,7178.3333,10672.6667,10030
212.82,2120.6666,6731.3333,12025.3333,6328.6667,8696.3333,7197,7807.3333,8078.6667,8479.3333,7852.3333,4747.3333,4123,5070.6667,8815.3333,6755.6667,8289.6667,8941,9713.6666,9249,10522,9398.6666,10761,6137.3334,8104,7846,9408.3333,8491.6666,9838.3333,11618,13714.6666,16187,6452.3333,999,253.6667,7254.6667,7162,10603,10098.3333
215.18,2142.6667,6694,12092,6312.6667,8601,7208.6667,7782,8125.3333,8497,7852,4797.3333,4061.3333,5068.3333,8767,6797.3333,8259,8988,9662,9156,10524,9392,10736.3333,6045,8041,7751,9437,8499,9789.3333,11523,13655.6666,16011.6666,6439,1031,240.3333,7176.6667,7141.6667,10651,9929.3334
217.55,2136.3334,6572.3334,12004.3334,6208,8611,7190.3334,7752.6667,8117,8363,7840.3333,4737,4106.3334,5019.3333,8771,6734,8239.3333,8920.6667,9586.3333,9122,10518,9423.3333,10701,5987,8081.6667,7740.6667,9415,8497.3333,9852.3333,11523,13627.6667,16160,6437.6667,983.6666,220.6667,7213.3334,7084,10593.6667,9939.3334
219.91,2081,6611.6667,12007.3334,6307,8615.3334,7156.6667,7710.3334,8064.3333,8417,7904.3333,4749.6666,4177.6667,5080.3333,8732,6688.3333,8208.6666,8865,9562.3333,9208.6667,10531.6667,9433,10772.6667,6051.6667,8026.3333,7795,9423.6667,8516,9778,11457,13582.3333,16053,6453.6667,998.6667,237.3333,7178,7072.6667,10580,9873.3334
222.28,2047,6596,11999,6263,8504.6667,7208.6667,7700.3334,8101.6666,8424.3333,7896.6666,4771.3333,4037,5077.6666,8679.6666,6693.3333,8124.3333,8849,9590.3333,9100.3333,10532.6666,9417.3333,10820,6009.6667,8029,7754,9386.3333,8348,9815,11475,13586,16052.3333,6412,1012,283,7113.6667,6980,10507.3334,9762
224.64,2096.6667,6631.6667,12010.3333,6337.6667,8536,7228,7737,8049,8446.6666,7855,4740,4032.6667,4993.3333,8614,6639,8106.6666,8863.3333,9497.3333,9069,10602.3333,9408.6666,10755.3333,5932.6667,8083,7717.3333,9410.3333,8363.6666,9719.3333,11369.3333,13535.6666,16046.3333,6390.3333,964.6667,225.3333,7104.6667,7008,10509.6667,9858.6667
