I,E,12C5,12C5^2,20C3,15C2
A,1.00000,1.00000,1.00000,1.00000,1.00000
T1,3.00000,1.61803,-0.61803,0.00000,-1.00000
T2,3.00000,-0.61803,1.61803,0.00000,-1.00000
G,4.00000,-1.00000,-1.00000,1.00000,0.00000
H,5.00000,0.00000,0.00000,-1.00000,1.00000
