D3h,E,2C3,3C2',sh,2S3,3sv
A1',1,1,1,1,1,1
A1'',1,1,1,-1,-1,-1
A2',1,1,-1,1,1,-1
A2'',1,1,-1,-1,-1,1
E',2,-1,0,2,-1,0
E'',2,-1,0,-2,1,0
